Throughput
1677
1668
1667
1660
1535
1678
1666
1664
1684
1635
1459
1642
1657
1667
288
842
799
923
1308
1274
811
746
951
1022
1052
1101
1164
1017
1218
1188
1298
1317
1202
1214
1384
1400
1415
1534
1646
1611
1638
1582
1656
1633
1490
1441
1638
1560
1643
1642
1644
1641
1639
1528
1638
1648
1655
1642
1411
