Times,Throughput,Cancel,Recover
1,1515.000000,false,true
1,1861.000000,false,true
1,2458.000000,false,true
1,2209.000000,false,true
1,2402.000000,false,true
1,2534.000000,false,true
1,2731.000000,false,true
1,2663.000000,false,true
1,2999.000000,false,true
1,2996.000000,false,true
1,3300.000000,false,true
1,3328.000000,false,true
1,3275.000000,false,true
1,3230.000000,false,true
1,3285.000000,false,true
1,3405.000000,false,true
1,3306.000000,false,true
1,3389.000000,false,true
1,3397.000000,false,true
1,3263.000000,false,true
1,3379.000000,false,true
1,3263.000000,false,true
1,3249.000000,false,true
1,3308.000000,false,true
1,3200.000000,false,true
1,3242.000000,false,true
1,3231.000000,false,true
1,3399.000000,false,true
1,2991.000000,false,false
1,3328.000000,false,true
1,3441.000000,false,true
1,3226.000000,false,true
1,3259.000000,false,true
1,3301.000000,false,true
1,3227.000000,false,true
1,3247.000000,false,true
1,3198.000000,false,true
1,1754.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,true,false
2,3039.000000,false,true
2,3175.000000,false,true
2,3434.000000,false,true
2,3323.000000,false,true
2,3327.000000,false,true
2,3277.000000,false,true
2,3241.000000,false,true
2,3501.000000,false,true
2,3358.000000,false,true
2,3378.000000,false,true
2,3319.000000,false,true
2,3342.000000,false,true
2,3342.000000,false,true
2,3323.000000,false,true
2,3299.000000,false,true
2,3325.000000,false,true
2,3229.000000,false,true
2,2928.000000,false,false
2,2368.000000,false,false
2,2499.000000,false,false
2,2673.000000,false,false
2,2735.000000,false,false
2,2821.000000,false,false
2,3005.000000,true,false
2,3422.000000,false,true
2,3236.000000,false,true
2,3306.000000,false,true
2,3299.000000,false,true
2,3206.000000,false,true
2,3285.000000,false,true
2,3393.000000,false,true
2,3385.000000,false,true
2,3011.000000,false,false
2,3406.000000,false,true
2,3170.000000,false,true
2,3339.000000,false,true
2,3347.000000,false,true
2,3253.000000,false,true
2,3194.000000,false,true
2,3261.000000,false,true
2,3315.000000,false,true
2,3174.000000,false,true
2,3356.000000,false,true
2,3314.000000,false,true
2,3201.000000,false,true
2,3000.000000,false,false
2,3021.000000,false,false
2,3274.000000,false,true
2,3288.000000,false,true
2,3258.000000,false,true
2,3402.000000,false,true
2,3200.000000,false,true
2,3463.000000,false,true
2,3146.000000,false,false
2,3419.000000,false,true
2,3230.000000,false,true
2,3210.000000,false,true
2,3366.000000,false,true
2,3249.000000,false,true
2,3271.000000,false,true
2,3273.000000,false,true
2,3159.000000,false,false
2,3379.000000,false,true
2,3351.000000,false,true
2,3263.000000,false,true
2,1256.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,true,false
