Throughput
2593
2934
2826
2838
3060
3131
3137
2591
3020
2317
2399
2203
2038
1876
1716
2027
2134
2171
2074
1630
1804
2261
2393
2469
2314
2159
1603
1900
2211
2320
2341
1709
1920
2238
2361
2309
2434
1508
2231
2233
2283
2427
2066
2144
1943
2285
2374
2254
1782
2080
1714
1947
2115
2231
1855
2601
2184
2574
2474
