Throughput
1692
1685
1691
1570
1697
1693
1696
1690
1694
182
841
1142
1200
1351
495
900
1011
1103
1361
798
1386
1110
1151
1193
1108
1190
1253
1157
1295
1367
1488
1634
1607
1650
1610
1644
1657
1516
1448
1665
1576
1653
1664
1667
1659
1531
1656
1659
1668
1656
1657
1405
1472
1661
1652
1655
1663
1481
1656
