Throughput
1694
1698
1689
1688
1534
1693
1685
1684
1695
1526
1665
1681
1688
1678
1692
1530
1684
1693
1693
1689
1482
1669
1680
1686
1689
1463
1702
1686
1692
1688
1684
1466
1692
1688
1688
1680
1473
1694
1681
1685
1684
1482
1674
1685
1680
1692
1681
1497
1685
1691
1705
1682
1504
1689
1690
1692
1695
1562
1628
