Throughput
1713
1710
1700
1706
1582
1707
1707
1701
1716
338
909
991
1230
1378
931
644
998
1072
1140
989
1140
1424
1506
1640
1666
1624
1677
1675
1649
1625
1676
1671
1555
1398
1643
1666
1580
1672
1683
1672
1665
1668
1539
1667
1671
1660
1672
1426
1456
1669
1669
1673
1667
1480
1664
1668
1669
1666
1493
