Throughput
1528
1685
1673
1684
1676
1681
1529
1671
1677
173
605
832
857
449
945
1097
1429
1619
1658
1480
1499
1664
1665
1676
1669
1594
1666
1669
1667
1667
1562
1672
1658
1665
1667
1667
1359
1487
1667
1667
1646
1494
1660
1673
1662
1661
1659
1489
1659
1674
1664
1665
1387
1471
1616
1670
1668
1663
1486
