Times,Throughput,Cancel,Recover
1,1174.000000,false,true
1,1843.000000,false,true
1,2064.000000,false,true
1,2389.000000,false,true
1,2295.000000,false,true
1,2528.000000,false,true
1,2685.000000,false,true
1,2846.000000,false,true
1,2932.000000,false,true
1,3232.000000,false,true
1,3234.000000,false,true
1,3240.000000,false,true
1,3200.000000,false,true
1,3187.000000,false,true
1,3191.000000,false,true
1,3033.000000,false,true
1,3280.000000,false,true
1,3229.000000,false,true
1,3238.000000,false,true
1,3267.000000,false,true
1,3387.000000,false,true
1,3394.000000,false,true
1,3402.000000,false,true
1,3335.000000,false,true
1,3132.000000,false,false
1,3239.000000,false,true
1,3247.000000,false,true
1,3264.000000,false,true
1,3158.000000,false,false
1,3159.000000,false,false
1,3227.000000,false,true
1,3199.000000,false,true
1,3194.000000,false,true
1,3123.000000,false,false
1,3150.000000,false,false
1,3279.000000,false,true
1,3306.000000,false,true
1,2603.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,true,false
2,608.000000,false,true
2,1049.000000,false,true
2,992.000000,false,true
2,1204.000000,false,true
2,1221.000000,false,true
2,1087.000000,false,true
2,1206.000000,false,true
2,1225.000000,false,true
2,1222.000000,false,true
2,1225.000000,false,true
2,1239.000000,false,true
2,1110.000000,false,true
2,1249.000000,false,true
2,1254.000000,false,true
2,1245.000000,false,true
2,1242.000000,false,true
2,1238.000000,false,true
2,891.000000,false,false
2,859.000000,false,false
2,908.000000,false,false
2,956.000000,false,false
2,967.000000,false,false
2,1040.000000,false,false
2,1050.000000,true,false
2,1083.000000,false,false
2,1054.000000,false,false
2,1024.000000,false,false
2,1042.000000,false,false
2,1032.000000,false,false
2,1024.000000,false,false
2,1036.000000,false,false
2,907.000000,true,false
2,1112.000000,false,false
2,1273.000000,false,true
2,1257.000000,false,true
2,1261.000000,false,true
2,1256.000000,false,true
2,1263.000000,false,true
2,1265.000000,false,true
2,1238.000000,false,true
2,1242.000000,false,true
2,1239.000000,false,true
2,1250.000000,false,true
2,1245.000000,false,true
2,1072.000000,false,false
2,1241.000000,false,true
2,1248.000000,false,true
2,1246.000000,false,true
2,1240.000000,false,true
2,1257.000000,false,true
2,1247.000000,false,true
2,1107.000000,false,false
2,1246.000000,false,true
2,1246.000000,false,true
2,1245.000000,false,true
2,1265.000000,false,true
2,1247.000000,false,true
2,1241.000000,false,true
2,1238.000000,false,true
2,1044.000000,false,false
2,1255.000000,false,true
2,1245.000000,false,true
2,1239.000000,false,true
2,1243.000000,false,true
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,true,false
3,0.000000,false,false
3,0.000000,false,false
3,1.000000,false,true
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,true,false
