Times,Throughput,Cancel,Recover
1,1308.000000,false,true
1,1925.000000,false,true
1,2006.000000,false,true
1,2428.000000,false,true
1,2383.000000,false,true
1,2677.000000,false,true
1,2729.000000,false,true
1,2953.000000,false,true
1,3095.000000,false,true
1,3152.000000,false,true
1,3278.000000,false,true
1,3154.000000,false,true
1,3288.000000,false,true
1,3309.000000,false,true
1,3218.000000,false,true
1,3290.000000,false,true
1,3237.000000,false,true
1,3272.000000,false,true
1,3400.000000,false,true
1,3312.000000,false,true
1,3245.000000,false,true
1,3404.000000,false,true
1,3299.000000,false,true
1,3266.000000,false,true
1,3253.000000,false,true
1,3216.000000,false,true
1,3273.000000,false,true
1,3177.000000,false,false
1,3201.000000,false,true
1,3037.000000,false,false
1,3249.000000,false,true
1,3155.000000,false,false
1,3281.000000,false,true
1,3075.000000,false,false
1,3264.000000,false,true
1,3393.000000,false,true
1,3242.000000,false,true
1,1806.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,true,false
2,615.000000,false,true
2,1063.000000,false,true
2,1118.000000,false,true
2,1209.000000,false,true
2,1067.000000,false,true
2,1239.000000,false,true
2,1218.000000,false,true
2,1252.000000,false,true
2,1242.000000,false,true
2,1248.000000,false,true
2,1124.000000,false,true
2,1264.000000,false,true
2,1255.000000,false,true
2,1239.000000,false,true
2,1251.000000,false,true
2,1279.000000,false,true
2,1265.000000,false,true
2,833.000000,false,false
2,889.000000,false,false
2,929.000000,false,false
2,935.000000,false,false
2,952.000000,false,false
2,1030.000000,true,false
2,1065.000000,false,false
2,1073.000000,false,false
2,1238.000000,false,true
2,1048.000000,false,false
2,1039.000000,false,false
2,1043.000000,false,false
2,1062.000000,false,false
2,901.000000,false,false
2,1041.000000,false,false
2,1045.000000,true,false
2,1203.000000,false,true
2,1224.000000,false,true
2,1232.000000,false,true
2,1089.000000,false,false
2,1258.000000,false,true
2,1244.000000,false,true
2,1231.000000,false,true
2,1238.000000,false,true
2,1240.000000,false,true
2,1224.000000,false,true
2,1130.000000,false,false
2,1239.000000,false,true
2,1239.000000,false,true
2,1241.000000,false,true
2,1237.000000,false,true
2,1240.000000,false,true
2,1237.000000,false,true
2,1233.000000,false,true
2,1094.000000,false,false
2,1255.000000,false,true
2,1229.000000,false,true
2,1225.000000,false,true
2,1236.000000,false,true
2,1239.000000,false,true
2,1236.000000,false,true
2,1097.000000,false,false
2,1262.000000,false,true
2,1256.000000,false,true
2,1230.000000,false,true
2,1239.000000,false,true
2,1222.000000,false,true
2,203.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,true,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,1.000000,false,true
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,true,false
