Times,Throughput,Cancel,Recover
1,1258.000000,false,true
1,1775.000000,false,true
1,2336.000000,false,true
1,2245.000000,false,true
1,2474.000000,false,true
1,2655.000000,false,true
1,2956.000000,false,true
1,2792.000000,false,true
1,3035.000000,false,true
1,3018.000000,false,true
1,3187.000000,false,true
1,3059.000000,false,true
1,3292.000000,false,true
1,3295.000000,false,true
1,3122.000000,false,true
1,3388.000000,false,true
1,3327.000000,false,true
1,3338.000000,false,true
1,3336.000000,false,true
1,3257.000000,false,true
1,3311.000000,false,true
1,3231.000000,false,true
1,3259.000000,false,true
1,3417.000000,false,true
1,3460.000000,false,true
1,3215.000000,false,false
1,3097.000000,false,false
1,3274.000000,false,true
1,3348.000000,false,true
1,3317.000000,false,true
1,3213.000000,false,false
1,3274.000000,false,true
1,3399.000000,false,true
1,3293.000000,false,true
1,3330.000000,false,true
1,3245.000000,false,false
1,3268.000000,false,true
1,1759.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,true,false
2,120.000000,false,true
2,167.000000,false,true
2,184.000000,false,true
2,181.000000,false,true
2,207.000000,false,true
2,187.000000,false,true
2,233.000000,false,true
2,239.000000,false,true
2,238.000000,false,true
2,227.000000,false,true
2,197.000000,false,true
2,229.000000,false,true
2,248.000000,false,true
2,235.000000,false,true
2,214.000000,false,true
2,241.000000,false,true
2,238.000000,false,true
2,217.000000,false,true
2,172.000000,false,false
2,139.000000,false,false
2,133.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,1.000000,false,false
2,0.000000,true,false
3,5.000000,false,true
3,4.000000,false,true
3,111.000000,false,true
3,200.000000,false,true
3,245.000000,false,true
3,240.000000,false,true
3,226.000000,false,true
3,229.000000,false,true
3,246.000000,false,true
3,235.000000,false,true
3,229.000000,false,true
3,205.000000,false,true
3,208.000000,false,true
3,145.000000,false,false
3,190.000000,false,false
3,222.000000,false,true
3,215.000000,false,true
3,222.000000,false,true
3,220.000000,false,true
3,227.000000,false,true
3,225.000000,false,true
3,201.000000,false,true
3,233.000000,false,true
3,242.000000,false,true
3,235.000000,false,true
3,239.000000,false,true
3,219.000000,false,true
3,238.000000,false,true
3,228.000000,false,true
3,236.000000,false,true
3,240.000000,false,true
3,220.000000,false,true
3,176.000000,false,false
3,220.000000,false,true
3,238.000000,false,true
3,240.000000,false,true
3,253.000000,false,true
3,241.000000,false,true
3,229.000000,false,true
3,199.000000,false,false
3,5.000000,false,false
