Times,Throughput,Cancel,Recover
1,1351.000000,false,true
1,1835.000000,false,true
1,2217.000000,false,true
1,2185.000000,false,true
1,2303.000000,false,true
1,2281.000000,false,true
1,2411.000000,false,true
1,2555.000000,false,true
1,2636.000000,false,true
1,2676.000000,false,true
1,2994.000000,false,true
1,3227.000000,false,true
1,3255.000000,false,true
1,3385.000000,false,true
1,3258.000000,false,true
1,3295.000000,false,true
1,3130.000000,false,true
1,3393.000000,false,true
1,3621.000000,false,true
1,3115.000000,false,true
1,3303.000000,false,true
1,3340.000000,false,true
1,3242.000000,false,true
1,3349.000000,false,true
1,3439.000000,false,true
1,3335.000000,false,true
1,3240.000000,false,true
1,3277.000000,false,true
1,3350.000000,false,true
1,3504.000000,false,true
1,3337.000000,false,true
1,3207.000000,false,true
1,3319.000000,false,true
1,3451.000000,false,true
1,3244.000000,false,true
1,3267.000000,false,true
1,3295.000000,false,true
1,1943.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,true,false
2,2387.000000,false,true
2,3055.000000,false,true
2,3102.000000,false,true
2,2990.000000,false,true
2,3281.000000,false,true
2,3184.000000,false,true
2,3352.000000,false,true
2,3362.000000,false,true
2,3280.000000,false,true
2,3114.000000,false,true
2,3258.000000,false,true
2,3343.000000,false,true
2,3219.000000,false,true
2,3164.000000,false,true
2,3384.000000,false,true
2,3062.000000,false,true
2,3280.000000,false,true
2,3225.000000,false,true
2,2654.000000,false,false
2,2490.000000,false,false
2,2223.000000,false,false
2,2553.000000,false,false
2,2770.000000,false,false
2,2888.000000,true,false
2,2818.000000,false,false
2,3118.000000,false,true
2,3281.000000,false,true
2,3396.000000,false,true
2,3358.000000,false,true
2,3198.000000,false,true
2,3235.000000,false,true
2,3265.000000,false,true
2,3165.000000,false,true
2,3450.000000,false,true
2,3124.000000,false,true
2,3462.000000,false,true
2,3272.000000,false,true
2,3548.000000,false,true
2,3303.000000,false,true
2,3498.000000,false,true
2,3189.000000,false,true
2,3306.000000,false,true
2,3250.000000,false,true
2,3231.000000,false,true
2,3063.000000,false,false
2,3289.000000,false,true
2,3268.000000,false,true
2,3249.000000,false,true
2,3234.000000,false,true
2,3201.000000,false,true
2,3359.000000,false,true
2,3372.000000,false,true
2,2745.000000,false,false
2,3209.000000,false,true
2,3186.000000,false,true
2,3314.000000,false,true
2,3564.000000,false,true
2,3265.000000,false,true
2,3269.000000,false,true
2,3220.000000,false,true
2,3271.000000,false,true
2,3273.000000,false,true
2,2551.000000,false,false
2,3208.000000,false,true
2,3323.000000,false,true
2,3249.000000,false,true
2,2529.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,true,false
