Throughput
1050
1122
1134
1135
1136
1152
1141
1146
1052
592
558
586
580
606
787
738
866
803
705
369
407
427
405
438
430
391
437
370
439
451
441
434
435
412
421
433
427
415
453
446
421
388
421
417
389
446
423
422
410
459
451
436
401
443
406
429
440
423
415
