Times,Throughput,Cancel,Recover
1,1533.000000,false,true
1,1913.000000,false,true
1,2082.000000,false,true
1,2697.000000,false,true
1,2304.000000,false,true
1,2529.000000,false,true
1,2745.000000,false,true
1,2851.000000,false,true
1,2924.000000,false,true
1,3238.000000,false,true
1,3140.000000,false,true
1,3093.000000,false,true
1,3221.000000,false,true
1,2979.000000,false,true
1,3137.000000,false,true
1,3298.000000,false,true
1,3141.000000,false,true
1,3117.000000,false,true
1,3243.000000,false,true
1,3371.000000,false,true
1,2998.000000,false,true
1,3168.000000,false,true
1,3077.000000,false,true
1,3277.000000,false,true
1,3584.000000,false,true
1,3266.000000,false,true
1,3119.000000,false,true
1,3090.000000,false,true
1,3105.000000,false,true
1,3180.000000,false,true
1,3190.000000,false,true
1,3132.000000,false,true
1,3165.000000,false,true
1,2831.000000,false,false
1,3211.000000,false,true
1,3309.000000,false,true
1,3282.000000,false,true
1,2282.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,false,false
1,0.000000,true,false
2,117.000000,false,true
2,161.000000,false,true
2,189.000000,false,true
2,212.000000,false,true
2,227.000000,false,true
2,220.000000,false,true
2,229.000000,false,true
2,218.000000,false,true
2,225.000000,false,true
2,244.000000,false,true
2,247.000000,false,true
2,214.000000,false,true
2,222.000000,false,true
2,251.000000,false,true
2,252.000000,false,true
2,252.000000,false,true
2,247.000000,false,true
2,230.000000,false,true
2,168.000000,false,false
2,107.000000,false,false
2,45.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,0.000000,false,false
2,1.000000,false,false
2,0.000000,true,false
3,12.000000,false,true
3,68.000000,false,true
3,256.000000,false,true
3,239.000000,false,true
3,247.000000,false,true
3,229.000000,false,true
3,234.000000,false,true
3,250.000000,false,true
3,241.000000,false,true
3,265.000000,false,true
3,251.000000,false,true
3,221.000000,false,true
3,219.000000,false,true
3,136.000000,false,false
3,226.000000,false,true
3,243.000000,false,true
3,232.000000,false,true
3,234.000000,false,true
3,230.000000,false,true
3,222.000000,false,true
3,234.000000,false,true
3,237.000000,false,true
3,244.000000,false,true
3,238.000000,false,true
3,232.000000,false,true
3,246.000000,false,true
3,240.000000,false,true
3,245.000000,false,true
3,240.000000,false,true
3,249.000000,false,true
3,237.000000,false,true
3,193.000000,false,true
3,234.000000,false,true
3,268.000000,false,true
3,254.000000,false,true
3,247.000000,false,true
3,245.000000,false,true
3,239.000000,false,true
3,269.000000,false,true
3,254.000000,false,true
3,171.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,false,false
3,0.000000,true,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
4,0.000000,false,false
