Throughput
136
138
143
140
142
119
150
152
150
155
124
91
58
0
0
1
0
0
0
0
49
122
144
168
137
142
153
143
159
161
151
145
96
126
150
147
161
155
155
153
161
156
160
155
160
157
158
154
164
154
118
152
155
157
163
165
156
161
165
164
