Throughput
137
132
142
132
133
146
146
145
148
124
146
138
140
140
138
146
148
162
139
141
149
141
148
148
156
163
162
152
154
158
152
159
165
161
155
151
157
156
162
155
165
150
154
158
159
162
158
160
162
153
158
161
156
159
161
163
162
162
167
155
